item,category,qty,unit_g,option,est,note
# Mass budget line items. option=base is the approved 4-servo build.
# option=nod is the incremental cost of adding a 5th servo for a powered head nod.
# est=1 = printed/estimated mass (soft, +/-20%); est=0 = datasheet/measured (firm).
#
# --- compute / electronics (firm) ---
Pi Zero 2 W,compute,2,11,base,0,board only
microSD card,compute,2,0.5,base,0,
Camera 8MP + ribbon,compute,1,4,base,0,
N20 150:1 gearmotor + encoder,drive,2,11,base,0,Pololu micro metal
TB6612FNG breakout,drive,1,3,base,0,
SCS0009 serial servo,servo,4,20,base,0,L/R shoulder + head yaw + util tilt
Bus servo adapter,servo,1,5,base,0,Waveshare A
VL53L1X carrier,sensor,1,2,base,0,Pololu 3415
MPU-6050 GY-521,sensor,1,3,base,0,
ADS1115 ADC,sensor,1,3,base,0,
INMP441 mic,audio,1,2,base,0,
MAX98357A amp,audio,1,3,base,0,
Speaker 8ohm 3W,audio,1,12,base,0,with magnet
WS2812B mouth 8-pixel,led,1,3,base,0,
WS2812B eye pixel,led,2,1,base,0,
WS2812B gauge 5-pixel,led,1,2,base,0,
Nav light LED + lens,led,1,3,base,0,
Level shifters + MOSFET + small boards,elec,1,5,base,0,
2S LiPo 2200 mAh,power,1,130,base,0,
Buck converter 5A,power,2,10,base,0,5V + 6V rails
Master switch + fuse holder,power,1,10,base,0,
Wiring harness,wiring,1,50,base,1,whole-robot estimate
Connectors + caps + PDB,power,1,20,base,1,
Fasteners + heat-set inserts,hardware,1,25,base,1,M2/M3 throughout
#
# --- printed structure (estimated) ---
Chassis tub (PLA),printed,1,161,base,0,measured; shelf ribs became columns and the deck/floor windows landed
Chassis deck (PLA),printed,1,32,base,0,measured; lightening windows cut Session 04
Motor retention cap (PLA),printed,2,6,base,0,measured
Pi-M shelf plate (PLA),printed,1,20,base,0,measured; one electronics shelf, Pi forward and IMU aft, with wire passthroughs
Drive sprocket (PLA),printed,2,25,base,0,measured; 10-pocket rim on hub and spokes
Idler wheel (PLA),printed,2,22,base,0,measured
Road wheel (PLA),printed,4,11,base,0,measured
Idler tensioner carrier (PLA),printed,2,3,base,0,measured
Axle collar (PLA),printed,6,1,base,0,measured; two per rod
TPU track loop,printed,2,36,base,0,measured; herringbone treads relieved out of the band drop the continuous section to 2.0 mm
Axle rod 3 mm steel,hardware,3,7,base,0,176 mm each: idler + 2 road wheel. Never budgeted before
Bearings 623ZZ + MR106ZZ,hardware,1,17,base,0,8 x 623ZZ + 2 x MR106ZZ. Never budgeted before
Misc brackets / mounts (PLA),printed,1,20,base,1,sensor mounts and board standoffs; caps and shelf now itemised
Torso front+back shell (PLA),printed,1,218,base,0,measured at a 2.0 mm wall, incl. the new shoulder deck, split pads and deck-bolt ribs
Head shell face+back (PLA),printed,1,181,base,0,measured at a 2.0 mm wall, incl. split pads; antenna rod is 0.3 g and folded in
Arm assembly (PLA),printed,2,23,base,0,measured; well inside the 50 g/arm ceiling
Utility box + bracket (PLA),printed,1,25,base,1,
#
# --- 5th-servo head-nod option (incremental) ---
SCS0009 serial servo (head nod),servo,1,20,nod,0,5th servo
Head nod bracket (PLA),printed,1,18,nod,1,neck-side bracket only; the head ears are 7.1 g and already inside the measured head shell
Neck reinforcement (PLA),printed,1,12,nod,1,added structure for nod load
Nod wiring + fasteners,wiring,1,8,nod,1,
#
# --- articulated brow option (6th servo, Session 02) ---
SCS0009 serial servo (brow roll),servo,1,20,brow,0,6th servo
Brow blade (PLA thin),printed,2,4,brow,0,measured
Brow rocker + gear bridge + idler (PLA),printed,1,8,brow,1,pinion + left gear + idler + right gear
Brow wiring,wiring,1,4,brow,1,
#
# --- rear trailing caster (passive stability, approved Session 02) ---
Anti-tip tail boom (PLA),printed,1,20,wheel,0,measured; fixed boom replacing the sprung caster arm
Anti-tip roller hub (PLA),printed,1,4,wheel,0,measured; carries the bore and the tyre lips
Anti-tip roller tyre (TPU),printed,1,2,wheel,0,measured; same 90A filament as the tracks, no new BOM line
